
2023/05/08 (12:13:42) | ===> btop++ v.1.2.13
2023/05/08 (12:13:42) | ERROR: Stall in Runner thread, restarting!

2023/09/15 (01:58:40) | ===> btop++ v.1.2.13
2023/09/15 (01:58:40) | ERROR: failed getting network interfaces
2023/09/23 (06:19:12) | ERROR: failed getting network interfaces

2024/01/03 (10:29:04) | ===> btop++ v.1.2.13
2024/01/03 (10:29:04) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/03 (10:43:22) | ===> btop++ v.1.2.13
2024/01/03 (10:43:22) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2024/01/03 (10:49:10) | ERROR: Stall in Runner thread, restarting!
2024/01/03 (10:52:17) | ERROR: Stall in Runner thread, restarting!
2024/01/03 (10:57:26) | ERROR: Stall in Runner thread, restarting!
2024/01/03 (10:57:32) | ERROR: Stall in Runner thread, restarting!
2024/01/03 (10:57:32) | ERROR: Exception in runner thread -> Net:: -> key not found

2024/01/04 (17:52:05) | ===> btop++ v.1.2.13
2024/01/04 (17:52:05) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/04 (17:52:40) | ===> btop++ v.1.2.13
2024/01/04 (17:52:40) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2024/01/04 (18:11:39) | ERROR: Stall in Runner thread, restarting!
2024/01/04 (20:37:55) | ERROR: Stall in Runner thread, restarting!
2024/01/04 (20:40:58) | ERROR: Stall in Runner thread, restarting!

2024/01/04 (20:51:17) | ===> btop++ v.1.2.13
2024/01/04 (20:51:17) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2024/01/04 (21:38:02) | ERROR: Stall in Runner thread, restarting!

2024/01/05 (10:18:03) | ===> btop++ v.1.2.13
2024/01/05 (10:18:03) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2024/01/05 (12:04:37) | ERROR: Stall in Runner thread, restarting!

2024/01/07 (15:41:58) | ===> btop++ v.1.2.13
2024/01/07 (15:41:58) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/02 (18:11:49) | ===> btop++ v.1.2.13
2024/02/02 (18:11:49) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2024/02/02 (18:13:10) | ERROR: Stall in Runner thread, restarting!
2024/02/02 (18:13:16) | ERROR: Stall in Runner thread, restarting!
2024/02/02 (18:13:21) | ERROR: Stall in Runner thread, restarting!
